
98;154;124;121;215;39;
1939.12.1.;98;154;124;121;215;39;
1940.1.1.1;99;157;129;122;215;39;
1940.2.1.1;93;165;129;122;215;40;
1940.3.1.1;89;180;129;121;214;39;
1940.4.1.1;88;187;130;121;214;39;
1940.5.1.1;88;195;130;122;214;38;
1940.6.1.1;88;209;130;122;214;38;
1940.7.1.1;88;224;128;122;214;37;
1940.7.1.1;88;223;128;122;214;37;
1940.8.1.1;88;226;127;118;214;37;
1940.8.5.1;88;226;126;118;214;37;
1940.8.12.;88;228;125;118;214;37;
1940.8.19.;88;234;124;118;214;37;
1940.8.26.;88;234;124;118;214;37;
1940.9.2.1;88;234;122;118;214;37;
1940.9.9.1;88;238;122;119;215;37;
1940.9.16.;88;243;122;119;215;37;
1940.9.23.;88;247;122;119;215;37;
1940.9.30.;88;247;122;119;215;37;
1940.10.7.;88;249;122;119;215;37;
1940.10.14;87;249;120;119;215;37;
1940.10.21;86;249;120;119;216;37;
1940.11.4.;83;252;120;117;216;37;
1940.11.4.;83;252;120;117;216;37;
1940.12.1.;82;249;120;115;216;37;
1941.1.1.1;81;252;120;111;216;37;
1941.2.1.1;81;255;121;96;216;37;
1941.3.1.1;81;264;121;92;216;37;
1941.4.1.1;81;281;121;91;232;37;
1941.5.1.1;81;283;121;92;232;37;
1941.6.1.1;80;283;121;93;234;38;
1941.7.1.1;80;291;121;89;234;38;
1941.8.1.1;78;330;121;81;263;39;
1941.9.1.1;78;335;120;85;267;39;
1941.10.1.;77;351;117;84;257;40;
1941.11.1.;77;356;115;85;259;40;
1941.12.1.;77;377;115;79;264;41;
1942.1.1.1;75;377;115;76;275;41;
1942.2.1.1;74;376;120;75;276;42;
1942.3.1.1;74;376;129;77;281;42;
1942.4.1.1;71;375;135;80;282;43;
1942.5.1.1;70;375;139;83;287;43;
1942.6.1.1;69;375;141;82;289;43;
1942.7.1.1;69;374;152;77;289;44;
1942.8.1.1;68;374;158;75;290;46;
1942.9.1.1;56;374;161;51;290;46;
1942.10.1.;56;373;166;2;291;46;
1942.11.1.;38;373;168;2;291;46;
942.11.1.1;38;373;168;2;291;46;
1942.12.1.;38;372;177;2;290;46;76;69;25;9;
1943.1.1.1;38;372;181;4;287;47;79;69;26;9;
1943.2.1.1;38;372;186;8;286;48;78;69;26;11;
1943.3.1.1;39;372;185;8;285;48;89;68;27;11;
1943.4.1.1;39;372;187;8;289;48;90;68;28;11;
1943.5.1.1;39;372;188;9;289;49;96;68;29;11;
1943.6.1.1;39;371;188;9;289;49;96;68;29;12;
1943.7.1.1;39;369;188;9;288;49;95;68;29;12;
1943.8.1.1;39;366;188;9;288;49;97;67;29;12;
1943.9.1.1;39;366;189;10;284;49;105;65;25;11;
